Region,Year,Ammoniacal nitrogen (g/m3),Nitrate-nitrite nitrogen (g/m3)
Otago,2008,0.03,0.2
Otago,2009,0.02,0.19
Otago,2010,0.02,0.17
Otago,2011,0.02,0.18
Otago,2012,0.02,0.18
Otago,2013,0.02,0.19
Otago,2014,0.01,0.19
Otago,2015,0.01,0.18
Otago,2016,0.01,0.19
Otago,2017,0.01,0.22
Otago,2018,0.01,0.22
Otago,2019,0.01,0.27
Southland,2002,NA,0.47
Southland,2003,NA,0.49
Southland,2004,0.02,0.71
Southland,2005,0.02,0.72
Southland,2006,0.02,0.71
Southland,2007,0.02,0.73
Southland,2008,0.02,0.71
Southland,2009,0.02,0.65
Southland,2010,0.02,0.72
Southland,2011,0.02,0.71
Southland,2012,0.02,0.79
Southland,2013,0.02,0.79
Southland,2014,0.02,0.84
Southland,2015,0.02,0.78
Southland,2016,0.02,0.8
Southland,2017,0.02,0.84
Southland,2018,0.02,0.87
Southland,2019,0.02,0.88
Taranaki,2002,NA,0.76
Taranaki,2003,NA,0.78
Taranaki,2004,0.01,0.8
Taranaki,2005,0.01,0.79
Taranaki,2006,0.01,0.8
Taranaki,2007,0.01,0.79
Taranaki,2008,0.02,0.8
Taranaki,2009,0.02,0.78
Taranaki,2010,0.02,0.77
Taranaki,2011,0.02,0.76
Taranaki,2012,0.02,0.76
Taranaki,2013,0.02,0.63
Taranaki,2014,0.02,0.61
Taranaki,2015,0.02,0.61
Taranaki,2016,0.02,0.53
Taranaki,2017,0.02,0.53
Taranaki,2018,0.02,0.53
Taranaki,2019,0.02,0.53
Tasman,2002,NA,0.05
Tasman,2003,NA,0.05
Tasman,2004,0,0.06
Tasman,2005,0,0.05
Tasman,2006,0,0.05
Tasman,2007,0,0.06
Tasman,2008,0,0.07
Tasman,2009,0.01,0.28
Tasman,2010,0.01,0.29
Tasman,2011,0.01,0.28
Tasman,2012,0.01,0.32
Tasman,2013,0.01,0.48
Tasman,2014,0.01,0.45
Tasman,2015,0.01,0.53
Tasman,2016,0.01,0.55
Tasman,2017,0,0.43
Tasman,2018,0.01,0.43
Tasman,2019,0,0.44
Waikato,2002,0.05,0.53
Waikato,2003,0.06,0.6
Waikato,2004,0.06,0.61
Waikato,2005,0.05,0.61
Waikato,2006,0.05,0.61
Waikato,2007,0.05,0.62
Waikato,2008,0.05,0.63
Waikato,2009,0.05,0.64
Waikato,2010,0.05,0.64
Waikato,2011,0.05,0.65
Waikato,2012,0.05,0.66
Waikato,2013,0.05,0.65
Waikato,2014,0.05,0.64
Waikato,2015,0.05,0.65
Waikato,2016,0.05,0.65
Waikato,2017,0.05,0.69
Waikato,2018,0.05,0.69
Waikato,2019,0.05,0.7
Wellington,2002,NA,0.24
Wellington,2003,NA,0.25
Wellington,2004,0.01,0.26
Wellington,2005,0.01,0.25
Wellington,2006,0.01,0.25
Wellington,2007,0.01,0.25
Wellington,2008,0.01,0.25
Wellington,2009,0.01,0.25
Wellington,2010,0.01,0.24
Wellington,2011,0.01,0.24
Wellington,2012,0.01,0.48
Wellington,2013,0.01,0.47
Wellington,2014,0.01,0.47
Wellington,2015,0.01,0.47
Wellington,2016,0.01,0.46
Wellington,2017,0.01,0.56
Wellington,2018,0.01,0.57
Wellington,2019,0.01,0.56
West Coast,2002,NA,0.04
West Coast,2003,NA,0.05
West Coast,2004,0,0.05
West Coast,2005,0,0.05
West Coast,2006,0,0.05
West Coast,2007,0,0.05
West Coast,2008,0,0.06
West Coast,2009,0,0.06
West Coast,2010,0,0.06
West Coast,2011,0,0.06
West Coast,2012,0,0.06
West Coast,2013,0.01,0.06
West Coast,2014,0.01,0.07
West Coast,2015,0.03,0.07
West Coast,2016,0.03,0.07
West Coast,2017,0.02,0.1
West Coast,2018,0.02,0.18
West Coast,2019,0.02,0.18
