Region,SOF,Latitude,Longitude
Wellington,CWH,-41.0943,175.1281
Wellington,CWL,-41.0895,175.0977
Wellington,CWL,-41.1123,175.0516
Wellington,CWL,-41.3945,174.8818
Wellington,WDL,-41.418,174.9018
Wellington,CXH,-40.7497,175.5826
Wellington,CWL,-40.9528,175.6801
Wellington,CWL,-41.0724,175.6291
Wellington,CWL,-41.2481,175.3611
Wellington,CWL,-40.6879,176.2169
Wellington,CWL,-40.7545,175.9887
Wellington,CDL,-41.063,175.6676
Wellington,CWL,-40.8936,175.6918
Wellington,CWL,-40.9863,175.689
Wellington,CWL,-40.9542,175.6736
Wellington,CXH,-40.9755,175.6233
Wellington,WWL,-40.9599,176.043
Wellington,CWL,-41.0595,175.9991
Wellington,WDL,-41.078,175.5417
Wellington,CXH,-41.0164,175.4001
Wellington,WDL,-41.0911,175.5076
Wellington,CWL,-41.0181,175.4258
Wellington,CWL,-41.0548,175.4962
Wellington,CDL,-41.208,175.4691
Wellington,WWL,-41.4945,175.5152
Wellington,CWH,-41.1679,175.3493
Wellington,CWH,-41.2564,175.1438
Taranaki,WWL,-39.1553,174.259
Bay of Plenty,CWLk,-38.0178,176.344
Bay of Plenty,WWL,-38.0795,177.1362
Gisborne,CWH,-37.9488,178.2109
Gisborne,WXL,-37.5927,178.1525
Gisborne,WWL,-38.5151,178.2549
Wellington,CWL,-41.2568,175.0089
Wellington,CWL,-41.1092,175.9538
Wellington,CWL,-40.9969,175.593
Wellington,CWH,-41.3983,175.2806
Hawke's Bay,CDL,-39.6046,176.932
Gisborne,CWH,-38.3616,177.4981
Gisborne,WXH,-37.5994,178.2602
Otago,CDH,-44.7454,169.5078
Otago,CDH,-45.4835,169.8139
Bay of Plenty,WWLk,-37.7904,176.3603
Canterbury,CDL,-44.1263,171.2641
Canterbury,CWM,-42.4155,173.6319
Canterbury,WDL,-42.3991,173.6798
Canterbury,WDL,-42.392,173.673
Canterbury,WDL,-42.367,173.6848
Canterbury,WDL,-42.3765,173.6787
Gisborne,WXL,-37.7853,178.4276
Wellington,WWL,-41.3861,175.5597
Hawke's Bay,WWL,-39.6393,176.9881
Hawke's Bay,WWL,-39.7327,176.953
Hawke's Bay,WWL,-39.8259,176.9811
Tasman,CWL,-40.8493,172.8404
Tasman,WWL,-40.8583,172.8195
Tasman,CXH,-40.7767,172.6962
West Coast,CXLk,-42.6495,171.534
Bay of Plenty,WWH,-37.7545,176.0701
Bay of Plenty,WWL,-37.5851,175.9118
Bay of Plenty,CWH,-38.4602,176.6977
Bay of Plenty,CWH,-38.04,176.8
Bay of Plenty,WWL,-37.9414,176.7667
Bay of Plenty,CWLk,-38.1833,176.5006
Canterbury,CDL,-44.9163,171.095
Gisborne,WWL,-38.6397,178.0682
Gisborne,WDL,-38.631100000000004,177.8576
Wellington,WWL,-40.9531,174.997
Wellington,WWL,-41.1967,174.9205
Wellington,WWL,-41.198,174.9222
Hawke's Bay,CDL,-39.7154,176.927
Manawatū-Whanganui,CWM,-39.8094,175.8081
Manawatū-Whanganui,CWH,-38.9425,175.1889
Hawke's Bay,CWH,-39.0736,177.1291
Northland,WWL,-35.7342,174.0512
Northland,WWL,-35.6528,174.1519
Taranaki,CWL,-39.5763,174.2102
Taranaki,CWL,-39.5763,174.2103
Canterbury,CDL,-44.8715,170.965
Canterbury,CDH,-42.8289,172.8973
Gisborne,WWL,-38.0469,178.1767
Gisborne,WXH,-37.6256,178.3346
Gisborne,WWL,-38.3474,178.2491
Gisborne,WXH,-37.8377,178.2939
Gisborne,CXH,-37.8944,178.2951
Gisborne,WDL,-38.6918,178.0715
Hawke's Bay,CWH,-40.0154,176.3231
Hawke's Bay,CWL,-39.9659,176.3342
Hawke's Bay,CWH,-39.8623,176.4456
Hawke's Bay,CWH,-39.9353,176.3508
Hawke's Bay,CDL,-40.0241,176.3711
Hawke's Bay,CDL,-39.7155,176.9279
Hawke's Bay,CWL,-39.9489,176.7027
Hawke's Bay,CWH,-38.9479,176.2851
Hawke's Bay,CWL,-39.9623,176.6823
Gisborne,WWL,-38.5558,178.2153
Wellington,CWL,-41.0253,175.4973
Gisborne,WDL,-38.6955,177.9418
Otago,CDH,-45.1772,170.8811
Otago,CDH,-45.4255,170.6633
Bay of Plenty,WWLk,-37.7934,176.3638
Canterbury,CDH,-44.4586,169.9726
Canterbury,CDH,-44.4652,170.0378
Canterbury,CDH,-44.5089,170.6757
Canterbury,CDH,-44.598,170.6355
Canterbury,CDL,-44.2493,171.3002
Canterbury,CDL,-44.264,171.33690000000001
Canterbury,CDL,-44.8991,171.1224
Canterbury,CDL,-44.6657,171.162
Canterbury,CDH,-44.2377,171.3922
Canterbury,CDL,-43.3756,172.6336
Canterbury,CDL,-43.6961,172.4129
Canterbury,CDL,-43.3048,172.6888
Canterbury,CDL,-43.8555,172.2812
Canterbury,CDL,-43.8537,172.3564
Canterbury,CDH,-43.4144,172.034
Canterbury,CDL,-43.2549,172.6887
Canterbury,CWM,-42.6882,172.799
Canterbury,CDL,-42.6544,173.0349
Canterbury,CWH,-42.7192,173.2842
Canterbury,CDL,-44.202,171.3454
Canterbury,CDL,-44.2152,171.3263
Canterbury,CDL,-44.216,171.3251
Canterbury,WDL,-42.404,173.6842
Hawke's Bay,WWL,-39.3854,176.8212
Hawke's Bay,WDL,-39.5991,176.8779
Hawke's Bay,CWL,-39.5685,176.881
Hawke's Bay,WDL,-40.2967,176.5807
Hawke's Bay,WDL,-39.6977,176.7939
Hawke's Bay,WWL,-40.2945,176.5558
Hawke's Bay,WDL,-39.6939,176.7909
Hawke's Bay,WWL,-39.4404,176.7191
Hawke's Bay,CWH,-39.3709,176.439
Hawke's Bay,WDL,-39.9961,176.6269
Hawke's Bay,CWH,-39.5584,176.3984
Hawke's Bay,WWL,-39.2701,176.9789
Hawke's Bay,CWH,-39.048,176.589
Hawke's Bay,CWH,-38.9444,176.508
Hawke's Bay,WXL,-39.0144,177.8583
Hawke's Bay,CXLk,-38.7401,177.1703
Hawke's Bay,CWH,-38.8157,177.4832
Gisborne,CWH,-38.7334,177.5843
Hawke's Bay,CWH,-39.0014,177.395
Hawke's Bay,CWH,-39.5867,176.7603
Hawke's Bay,WWL,-39.8011,176.9791
Hawke's Bay,CWH,-39.2004,176.5167
Hawke's Bay,WWL,-39.9649,176.906
Hawke's Bay,CWH,-38.9152,176.2753
Hawke's Bay,WDL,-39.5994,176.7114
Hawke's Bay,CWH,-39.5999,176.5771
Hawke's Bay,CWH,-39.2073,176.517
Manawatū-Whanganui,CWL,-40.3319,175.818
Manawatū-Whanganui,CWH,-40.6634,175.3374
Manawatū-Whanganui,CWH,-40.4873,175.526
Manawatū-Whanganui,WDL,-39.8867,174.9013
Canterbury,CDH,-44.2807,171.3464
Canterbury,CDH,-44.2413,171.4071
Nelson,CWL,-41.2783,173.2892
Tasman,CWH,-41.8164,172.4734
Tasman,WWL,-40.855,172.8141
West Coast,CXL,-42.4572,171.2056
West Coast,CXL,-42.3761,171.2429
West Coast,CXL,-41.7602,171.545
West Coast,CXL,-41.771,171.6254
West Coast,CXL,-43.1734,170.3773
West Coast,CXL,-43.183,170.383
West Coast,CXLk,-42.4818,171.3762
West Coast,CXH,-42.6012,171.4974
Auckland,WWL,-36.7443,174.6179
Bay of Plenty,CXH,-37.8637,177.6323
Bay of Plenty,CWH,-38.458,176.6973
Bay of Plenty,WWL,-37.939,176.767
Bay of Plenty,CWLk,-38.1819,176.5024
Bay of Plenty,CWH,-38.4798,176.7476
Bay of Plenty,CWH,-38.4844,176.7457
Bay of Plenty,CWH,-38.0398,176.7998
Canterbury,CDH,-42.8762,172.7491
Canterbury,CDH,-42.8325,172.9031
Canterbury,CDH,-44.1683,170.9417
Canterbury,CWM,-43.4173,172.6418
Southland,CDL,-45.8864,168.6015
Southland,CDL,-45.945,168.6225
Southland,CDL,-45.9392,168.7295
Southland,CDL,-46.3895,168.7971
Southland,CDL,-46.3263,168.2659
Waikato,CWLk,-37.7922,175.2891
Gisborne,WWL,-38.4685,177.8818
Manawatū-Whanganui,CWL,-40.5652,175.7451
Manawatū-Whanganui,CWL,-40.4354,175.4698
Manawatū-Whanganui,WDL,-40.3725,175.6241
Manawatū-Whanganui,CWL,-40.2405,176.1117
Manawatū-Whanganui,CWL,-40.3419,175.8479
Manawatū-Whanganui,CXL,-40.6404,175.611
Manawatū-Whanganui,CWH,-39.431,175.3231
Manawatū-Whanganui,CWH,-40.1734,175.6599
Manawatū-Whanganui,CWH,-40.2246,175.783
Manawatū-Whanganui,CWH,-40.0796,175.4638
Manawatū-Whanganui,CWM,-39.8103,175.8081
Manawatū-Whanganui,WDL,-40.3725,175.6242
Southland,CWL,-45.805,167.5342
Hawke's Bay,CWM,-39.3799,176.3306
Gisborne,CWH,-38.1997,177.621
Northland,WWL,-35.725,174.3164
Northland,WWL,-35.6399,174.3131
Auckland,WWL,-36.3853,174.517
Canterbury,CDL,-44.9271,171.1003
Canterbury,CDH,-44.7248,170.4906
Canterbury,CWLk,-44.7005,170.4512
Canterbury,CDL,-44.2621,171.2905
Canterbury,CWH,-44.0789,170.9797
Canterbury,CWH,-42.7904,172.5415
Gisborne,CWH,-38.415,177.5617
Hawke's Bay,CWH,-39.8179,176.304
Hawke's Bay,CWH,-39.5964,176.8725
Hawke's Bay,CWH,-39.1778,176.6348
Manawatū-Whanganui,CWH,-40.1251,175.4443
Manawatū-Whanganui,CWL,-39.7869,175.1425
Marlborough,WDL,-41.4388,173.9527
Northland,WWL,-35.7323,174.0527
Northland,WWL,-35.6519,174.1508
Northland,WWL,-35.2763,174.0475
Northland,WWL,-35.2734,173.6881
Otago,CDL,-46.2373,169.748
Otago,CDH,-45.8464,170.2439
Otago,CDL,-45.6647,169.4101
Otago,CDH,-45.5962,170.0941
Otago,CDH,-45.2565,170.2728
Otago,CWLk,-45.0064,168.8687
Otago,CWM,-44.99,168.715
Otago,CXLk,-44.7293,169.28
Taranaki,CXL,-39.2812,174.2618
Taranaki,WXL,-39.0479,174.2551
Tasman,CWH,-41.7651,172.3867
Waikato,CXM,-38.9945,175.8131
Waikato,CWLk,-38.6758,176.0773
Waikato,CWH,-38.2687,175.3483
Waikato,WWL,-37.7986,175.1519
Waikato,WWL,-37.5466,175.7068
Waikato,WDL,-37.4321,175.1315
Waikato,WWL,-37.4148,175.7153
Wellington,CWL,-41.1954,175.4396
Wellington,CXH,-41.0509,175.1916
Wellington,WDL,-41.003,175.6716
Wellington,CXH,-40.7621,175.605
West Coast,CXL,-43.9425,169.2979
Canterbury,CXM,-43.359,172.0512
Tasman,CWM,-41.6335,172.9137
Tasman,CWL,-41.2498,172.8248
Marlborough,CWM,-41.8964,172.9229
Canterbury,CWH,-42.8984,173.0966
West Coast,CXH,-41.8349,171.6998
West Coast,CXL,-42.4535,171.2979
West Coast,CWL,-42.3545,171.7862
Auckland,WWL,-36.3995,174.66
Bay of Plenty,WWL,-37.6976,176.1513
Canterbury,CDL,-42.8337,172.8602
Southland,CDL,-45.8983,168.5493
Southland,CDL,-45.84,168.5339
Southland,CDL,-45.7676,168.4923
Southland,CDL,-45.7449,168.4848
Manawatū-Whanganui,CWL,-40.2395,176.1164
Manawatū-Whanganui,CWL,-39.7694,175.1618
Otago,CDH,-44.885,169.3843
Canterbury,CDH,-44.5093,170.6804
Canterbury,CDH,-44.3046,170.0704
Canterbury,CDH,-44.4898,169.9577
Canterbury,CWLk,-44.8565,170.69
Canterbury,CDL,-44.8159,170.6365
Canterbury,CDH,-44.1749,170.3233
Canterbury,CDH,-44.6045,170.2029
Canterbury,CWM,-44.0007,170.4119
Canterbury,CDH,-44.0874,170.3488
Canterbury,CDL,-42.6876,173.3025
Canterbury,CDH,-43.228,172.2286
Canterbury,CWH,-42.5991,173.4179
Canterbury,CWH,-42.6347,173.0648
Canterbury,CDL,-43.3224,172.6232
Canterbury,CDL,-43.3222,172.6302
Hawke's Bay,CWH,-39.2295,176.7968
Hawke's Bay,WWL,-39.2105,176.8895
Hawke's Bay,WDL,-40.2066,176.5911
Hawke's Bay,WDL,-39.5971,176.863
Hawke's Bay,WWL,-39.143,177.0208
Manawatū-Whanganui,CWL,-40.2408,176.0988
Tasman,CXL,-40.6693,172.6439
Tasman,CXH,-40.8637,172.8038
Tasman,CWL,-41.7998,172.3225
Tasman,CXH,-41.4433,172.5964
Tasman,WWL,-40.8788,172.83
Tasman,WWL,-40.8563,172.8318
Tasman,CXL,-40.8068,172.7637
Tasman,CXL,-40.7157,172.5769
West Coast,CXLk,-42.4044,171.5204
West Coast,CXL,-42.491,171.215
West Coast,CXL,-41.7687,171.6615
West Coast,CXL,-42.9869,170.703
West Coast,CXL,-43.0841,170.5692
West Coast,CXL,-43.1125,170.5533
West Coast,CXL,-42.5567,171.4595
Auckland,WWL,-36.6852,174.6946
Auckland,WDL,-36.9557,174.8906
Auckland,WDL,-36.732,174.6947
Auckland,WDL,-36.9927,174.8704
Auckland,WDL,-36.6844,174.7395
Auckland,WDL,-37.0134,175.0532
Southland,CXLk,-46.1308,167.686
Southland,CDL,-45.7162,168.4278
Southland,CWH,-45.5594,168.5615
Southland,CDL,-46.5402,168.5703
Manawatū-Whanganui,CDH,-39.6569,175.7809
Manawatū-Whanganui,CWH,-39.421,175.2821
Manawatū-Whanganui,WDL,-40.3733,175.6277
Manawatū-Whanganui,CWH,-40.4361,175.7917
Manawatū-Whanganui,CDH,-39.7003,175.3311
Manawatū-Whanganui,WWL,-38.9175,175.0324
Manawatū-Whanganui,CWH,-40.2956,175.2756
Manawatū-Whanganui,CWH,-39.4962,175.4577
Manawatū-Whanganui,CWL,-40.6865,175.1654
Northland,WWL,-35.0981,173.7733
Northland,WWL,-35.8695,174.4026
Northland,WWL,-35.3942,174.0199
Auckland,WWL,-36.8889,174.5221
Auckland,WWL,-36.7762,174.56
Auckland,WDL,-36.7231,174.6962
Auckland,WWL,-36.4485,174.6488
Auckland,WWL,-36.345,174.7118
Waikato,WWL,-37.1955,174.9735
Auckland,WWL,-36.8762,174.7048
Auckland,WWL,-36.8949,174.5947
Auckland,WWL,-37.0282,174.9232
Auckland,WWL,-36.551,174.6605
Auckland,WWL,-36.5785,174.6576
Auckland,WDL,-36.7319,174.6948
Auckland,WWL,-36.6696,174.7148
Bay of Plenty,CWLk,-37.8385,176.3902
Bay of Plenty,WWL,-37.7344,176.11
Bay of Plenty,WWL,-37.6992,176.0944
Manawatū-Whanganui,CWL,-40.2447,176.1895
Manawatū-Whanganui,CWH,-40.1227,176.0335
