Region,Year,Units,Water_Categ,Ammoniacal nitrogen,E.coli,Nitrate-nitrite nitrogen
Manawatu-Whanganui,2014,cfu/100ml,Groundwater Quality,NA,148.4,NA
Manawatu-Whanganui,2014,cfu/100ml,River Quality,NA,5166.9,NA
Manawatu-Whanganui,2014,g/m3,Groundwater Quality,NA,NA,297.59
Manawatu-Whanganui,2014,g/m3,River Quality,0.44,NA,8.28
Manawatu-Whanganui,2015,cfu/100ml,Groundwater Quality,NA,148,NA
Manawatu-Whanganui,2015,cfu/100ml,River Quality,NA,6842.45,NA
Manawatu-Whanganui,2015,g/m3,Groundwater Quality,NA,NA,507.44
Manawatu-Whanganui,2015,g/m3,River Quality,0.75,NA,12.41
Manawatu-Whanganui,2016,cfu/100ml,Groundwater Quality,NA,646,NA
Manawatu-Whanganui,2016,cfu/100ml,River Quality,NA,14577.95,NA
Manawatu-Whanganui,2016,g/m3,Groundwater Quality,NA,NA,479.69
Manawatu-Whanganui,2016,g/m3,River Quality,2.12,NA,27.27
Manawatu-Whanganui,2017,cfu/100ml,Groundwater Quality,NA,149,NA
Manawatu-Whanganui,2017,cfu/100ml,River Quality,NA,22016.65,NA
Manawatu-Whanganui,2017,g/m3,Groundwater Quality,NA,NA,492.68
Manawatu-Whanganui,2017,g/m3,River Quality,2.89,NA,34.51
Manawatu-Whanganui,2018,cfu/100ml,Groundwater Quality,NA,176,NA
Manawatu-Whanganui,2018,cfu/100ml,River Quality,NA,24510,NA
Manawatu-Whanganui,2018,g/m3,Groundwater Quality,NA,NA,519
Manawatu-Whanganui,2018,g/m3,River Quality,2.9,NA,37.46
Manawatu-Whanganui,2019,cfu/100ml,Groundwater Quality,NA,291,NA
Manawatu-Whanganui,2019,cfu/100ml,River Quality,NA,26850.5,NA
Manawatu-Whanganui,2019,g/m3,Groundwater Quality,NA,NA,585.72
Manawatu-Whanganui,2019,g/m3,River Quality,3.25,NA,41.16
Marlborough,2002,g/m3,River Quality,NA,NA,0.06
Marlborough,2003,g/m3,River Quality,NA,NA,0.07
Marlborough,2004,g/m3,Groundwater Quality,NA,NA,23.26
Marlborough,2004,g/m3,River Quality,0,NA,0.07
Marlborough,2005,cfu/100ml,Groundwater Quality,NA,37,NA
Marlborough,2005,g/m3,Groundwater Quality,NA,NA,82.25
Marlborough,2005,g/m3,River Quality,0,NA,0.06
Marlborough,2006,cfu/100ml,Groundwater Quality,NA,7,NA
Marlborough,2006,g/m3,Groundwater Quality,NA,NA,92.49
Marlborough,2006,g/m3,River Quality,0,NA,0.07
Marlborough,2007,g/m3,Groundwater Quality,NA,NA,94.65
Marlborough,2007,g/m3,River Quality,0,NA,0.08
Marlborough,2008,cfu/100ml,Groundwater Quality,NA,27,NA
Marlborough,2008,g/m3,Groundwater Quality,NA,NA,111.94
Marlborough,2008,g/m3,River Quality,0,NA,0.08
Marlborough,2009,cfu/100ml,Groundwater Quality,NA,9,NA
Marlborough,2009,g/m3,Groundwater Quality,NA,NA,96.81
Marlborough,2009,g/m3,River Quality,0,NA,0.09
Marlborough,2010,cfu/100ml,Groundwater Quality,NA,9,NA
Marlborough,2010,g/m3,Groundwater Quality,NA,NA,86.58
Marlborough,2010,g/m3,River Quality,0,NA,0.1
Marlborough,2011,cfu/100ml,Groundwater Quality,NA,9,NA
Marlborough,2011,g/m3,Groundwater Quality,NA,NA,60.07
Marlborough,2011,g/m3,River Quality,0,NA,0.11
Marlborough,2012,cfu/100ml,Groundwater Quality,NA,48,NA
Marlborough,2012,g/m3,Groundwater Quality,NA,NA,60.89
Marlborough,2012,g/m3,River Quality,0,NA,0.11
Marlborough,2013,cfu/100ml,Groundwater Quality,NA,14,NA
Marlborough,2013,g/m3,Groundwater Quality,NA,NA,62.21
Marlborough,2013,g/m3,River Quality,0,NA,0.11
Marlborough,2014,cfu/100ml,Groundwater Quality,NA,9,NA
Marlborough,2014,cfu/100ml,River Quality,NA,9.9,NA
Marlborough,2014,g/m3,Groundwater Quality,NA,NA,65.58
Marlborough,2014,g/m3,River Quality,0,NA,0.11
Marlborough,2015,cfu/100ml,Groundwater Quality,NA,12,NA
Marlborough,2015,cfu/100ml,River Quality,NA,10.5,NA
Marlborough,2015,g/m3,Groundwater Quality,NA,NA,71.49
Marlborough,2015,g/m3,River Quality,0,NA,0.11
Marlborough,2016,cfu/100ml,Groundwater Quality,NA,9,NA
Marlborough,2016,cfu/100ml,River Quality,NA,1357.5,NA
Marlborough,2016,g/m3,Groundwater Quality,NA,NA,75.79
Marlborough,2016,g/m3,River Quality,0.11,NA,5.5
Marlborough,2017,cfu/100ml,Groundwater Quality,NA,9,NA
Marlborough,2017,cfu/100ml,River Quality,NA,1724.5,NA
Marlborough,2017,g/m3,Groundwater Quality,NA,NA,79.72
Marlborough,2017,g/m3,River Quality,0.11,NA,8.31
Marlborough,2018,cfu/100ml,Groundwater Quality,NA,11,NA
Marlborough,2018,cfu/100ml,River Quality,NA,2563.1,NA
Marlborough,2018,g/m3,Groundwater Quality,NA,NA,77.5
Marlborough,2018,g/m3,River Quality,0.09,NA,11.34
Marlborough,2019,cfu/100ml,Groundwater Quality,NA,2,NA
Marlborough,2019,cfu/100ml,River Quality,NA,2736.6,NA
Marlborough,2019,g/m3,Groundwater Quality,NA,NA,63.16
Marlborough,2019,g/m3,River Quality,0.09,NA,10.98
Nelson,2009,cfu/100ml,River Quality,NA,5119.5,NA
Nelson,2009,g/m3,River Quality,NA,NA,4.29
Nelson,2010,cfu/100ml,River Quality,NA,5059.5,NA
