Region,Year,Units,Water_Categ,Ammoniacal nitrogen,E.coli,Nitrate-nitrite nitrogen
Tasman,2010,g/m3,Groundwater Quality,NA,NA,212.77
Tasman,2010,g/m3,River Quality,0.14,NA,2.29
Tasman,2011,cfu/100ml,River Quality,NA,2469,NA
Tasman,2011,g/m3,Groundwater Quality,NA,NA,221.04
Tasman,2011,g/m3,River Quality,0.14,NA,2.48
Tasman,2012,cfu/100ml,River Quality,NA,2580.75,NA
Tasman,2012,g/m3,Groundwater Quality,NA,NA,193.89
Tasman,2012,g/m3,River Quality,0.12,NA,2.58
Tasman,2013,cfu/100ml,River Quality,NA,2791,NA
Tasman,2013,g/m3,Groundwater Quality,NA,NA,172.53
Tasman,2013,g/m3,River Quality,0.12,NA,4.32
Tasman,2014,cfu/100ml,River Quality,NA,4918.1,NA
Tasman,2014,g/m3,Groundwater Quality,NA,NA,171.57
Tasman,2014,g/m3,River Quality,0.2,NA,6.36
Tasman,2015,cfu/100ml,River Quality,NA,5454.6,NA
Tasman,2015,g/m3,Groundwater Quality,NA,NA,182.6
Tasman,2015,g/m3,River Quality,0.26,NA,8.02
Tasman,2016,cfu/100ml,Groundwater Quality,NA,5,NA
Tasman,2016,cfu/100ml,River Quality,NA,3930.25,NA
Tasman,2016,g/m3,Groundwater Quality,NA,NA,244.1
Tasman,2016,g/m3,River Quality,0.09,NA,5.48
Tasman,2017,cfu/100ml,River Quality,NA,2995.55,NA
Tasman,2017,g/m3,Groundwater Quality,NA,NA,211.1
Tasman,2017,g/m3,River Quality,0.05,NA,3.84
Tasman,2018,cfu/100ml,River Quality,NA,3640.95,NA
Tasman,2018,g/m3,Groundwater Quality,NA,NA,267.48
Tasman,2018,g/m3,River Quality,0.06,NA,3.9
Tasman,2019,cfu/100ml,River Quality,NA,3684.95,NA
Tasman,2019,g/m3,Groundwater Quality,NA,NA,271.2
Tasman,2019,g/m3,River Quality,0.06,NA,3.94
Waikato,2002,g/m3,River Quality,3.44,NA,44.69
Waikato,2003,g/m3,River Quality,6.02,NA,66.88
Waikato,2004,g/m3,Groundwater Quality,NA,NA,1166.89
Waikato,2004,g/m3,River Quality,6.09,NA,68
Waikato,2005,g/m3,Groundwater Quality,NA,NA,1039.07
Waikato,2005,g/m3,River Quality,5.89,NA,68.06
Waikato,2006,cfu/100ml,River Quality,NA,170,NA
Waikato,2006,g/m3,Groundwater Quality,NA,NA,1054.58
Waikato,2006,g/m3,River Quality,5.68,NA,68.21
Waikato,2007,cfu/100ml,River Quality,NA,24861.5,NA
Waikato,2007,g/m3,Groundwater Quality,NA,NA,1084.12
Waikato,2007,g/m3,River Quality,5.51,NA,68.36
Waikato,2008,cfu/100ml,River Quality,NA,26495,NA
Waikato,2008,g/m3,Groundwater Quality,NA,NA,1241.7
Waikato,2008,g/m3,River Quality,5.38,NA,69.41
Waikato,2009,cfu/100ml,River Quality,NA,26222.5,NA
Waikato,2009,g/m3,Groundwater Quality,NA,NA,1253.69
Waikato,2009,g/m3,River Quality,5.37,NA,72.5
Waikato,2010,cfu/100ml,River Quality,NA,25768.5,NA
Waikato,2010,g/m3,Groundwater Quality,NA,NA,1175.49
Waikato,2010,g/m3,River Quality,5.3,NA,72.99
Waikato,2011,cfu/100ml,River Quality,NA,26854,NA
Waikato,2011,g/m3,Groundwater Quality,NA,NA,1131.95
Waikato,2011,g/m3,River Quality,5.23,NA,74.15
Waikato,2012,cfu/100ml,River Quality,NA,26010.5,NA
Waikato,2012,g/m3,Groundwater Quality,NA,NA,1136.22
Waikato,2012,g/m3,River Quality,5.12,NA,75.28
Waikato,2013,cfu/100ml,River Quality,NA,23397.5,NA
Waikato,2013,g/m3,Groundwater Quality,NA,NA,1147.63
Waikato,2013,g/m3,River Quality,5.1,NA,75.9
Waikato,2014,cfu/100ml,River Quality,NA,22343.05,NA
Waikato,2014,g/m3,Groundwater Quality,NA,NA,1175.34
Waikato,2014,g/m3,River Quality,4.98,NA,74.08
Waikato,2015,cfu/100ml,River Quality,NA,20039.65,NA
Waikato,2015,g/m3,Groundwater Quality,NA,NA,1190.47
Waikato,2015,g/m3,River Quality,4.9,NA,74.47
Waikato,2016,cfu/100ml,River Quality,NA,20375.85,NA
Waikato,2016,g/m3,Groundwater Quality,NA,NA,1202.75
Waikato,2016,g/m3,River Quality,4.86,NA,74.81
Waikato,2017,cfu/100ml,River Quality,NA,19867.85,NA
Waikato,2017,g/m3,Groundwater Quality,NA,NA,1195.85
Waikato,2017,g/m3,River Quality,4.92,NA,78.13
Waikato,2018,cfu/100ml,River Quality,NA,19957.3,NA
Waikato,2018,g/m3,Groundwater Quality,NA,NA,1327.66
Waikato,2018,g/m3,River Quality,5.02,NA,78.04
Waikato,2019,cfu/100ml,River Quality,NA,20782.2,NA
Waikato,2019,g/m3,Groundwater Quality,NA,NA,638.75
Waikato,2019,g/m3,River Quality,5.04,NA,80.33
Wellington,2002,g/m3,River Quality,NA,NA,1.21
Wellington,2003,g/m3,River Quality,NA,NA,1.24
Wellington,2004,cfu/100ml,Groundwater Quality,NA,236,NA
Wellington,2004,g/m3,Groundwater Quality,NA,NA,498.82
Wellington,2004,g/m3,River Quality,0.03,NA,1.28
Wellington,2005,cfu/100ml,Groundwater Quality,NA,721,NA
Wellington,2005,g/m3,Groundwater Quality,NA,NA,563.01
Wellington,2005,g/m3,River Quality,0.03,NA,1.25
Wellington,2006,cfu/100ml,Groundwater Quality,NA,327,NA
Wellington,2006,g/m3,Groundwater Quality,NA,NA,606.93
Wellington,2006,g/m3,River Quality,0.03,NA,1.25
Wellington,2007,cfu/100ml,Groundwater Quality,NA,1914,NA
Wellington,2007,g/m3,Groundwater Quality,NA,NA,504.56
Wellington,2007,g/m3,River Quality,0.03,NA,1.24
Wellington,2008,cfu/100ml,Groundwater Quality,NA,256,NA
Wellington,2008,g/m3,Groundwater Quality,NA,NA,547.37
Wellington,2008,g/m3,River Quality,0.03,NA,1.25
Wellington,2009,cfu/100ml,Groundwater Quality,NA,275,NA
Wellington,2009,g/m3,Groundwater Quality,NA,NA,511.26
Wellington,2009,g/m3,River Quality,0.03,NA,1.25
Wellington,2010,cfu/100ml,Groundwater Quality,NA,261,NA
Wellington,2010,g/m3,Groundwater Quality,NA,NA,496.91
Wellington,2010,g/m3,River Quality,0.03,NA,1.21
Wellington,2011,cfu/100ml,Groundwater Quality,NA,564,NA
Wellington,2011,g/m3,Groundwater Quality,NA,NA,498.51
Wellington,2011,g/m3,River Quality,0.03,NA,1.19
Wellington,2012,cfu/100ml,Groundwater Quality,NA,311,NA
Wellington,2012,cfu/100ml,River Quality,NA,8851,NA
Wellington,2012,g/m3,Groundwater Quality,NA,NA,460.64
Wellington,2012,g/m3,River Quality,0.71,NA,27.22
Wellington,2013,cfu/100ml,Groundwater Quality,NA,265,NA
Wellington,2013,cfu/100ml,River Quality,NA,9414.3,NA
Wellington,2013,g/m3,Groundwater Quality,NA,NA,462.85
Wellington,2013,g/m3,River Quality,0.72,NA,28.47
Wellington,2014,cfu/100ml,Groundwater Quality,NA,274,NA
Wellington,2014,cfu/100ml,River Quality,NA,9400.5,NA
Wellington,2014,g/m3,Groundwater Quality,NA,NA,464.42
Wellington,2014,g/m3,River Quality,0.69,NA,27.18
Wellington,2015,cfu/100ml,Groundwater Quality,NA,351,NA
Wellington,2015,cfu/100ml,River Quality,NA,9545.85,NA
Wellington,2015,g/m3,Groundwater Quality,NA,NA,434.13
Wellington,2015,g/m3,River Quality,0.67,NA,27.12
Wellington,2016,cfu/100ml,Groundwater Quality,NA,216,NA
Wellington,2016,cfu/100ml,River Quality,NA,9077.8,NA
Wellington,2016,g/m3,Groundwater Quality,NA,NA,410.08
Wellington,2016,g/m3,River Quality,0.59,NA,25.98
Wellington,2017,cfu/100ml,Groundwater Quality,NA,449,NA
Wellington,2017,cfu/100ml,River Quality,NA,8445.35,NA
Wellington,2017,g/m3,Groundwater Quality,NA,NA,391.7
Wellington,2017,g/m3,River Quality,0.41,NA,23.99
Wellington,2018,cfu/100ml,Groundwater Quality,NA,859,NA
Wellington,2018,cfu/100ml,River Quality,NA,8893.6,NA
Wellington,2018,g/m3,Groundwater Quality,NA,NA,437.89
Wellington,2018,g/m3,River Quality,0.39,NA,23.21
Wellington,2019,cfu/100ml,Groundwater Quality,NA,302,NA
Wellington,2019,cfu/100ml,River Quality,NA,9505.25,NA
Wellington,2019,g/m3,Groundwater Quality,NA,NA,492.25
Wellington,2019,g/m3,River Quality,0.38,NA,23.01
West Coast,2002,g/m3,River Quality,NA,NA,0.17
West Coast,2003,g/m3,River Quality,NA,NA,0.18
West Coast,2004,cfu/100ml,Groundwater Quality,NA,17,NA
West Coast,2004,g/m3,Groundwater Quality,NA,NA,18.87
West Coast,2004,g/m3,River Quality,0.02,NA,0.19
West Coast,2005,cfu/100ml,Groundwater Quality,NA,44,NA
West Coast,2005,g/m3,Groundwater Quality,NA,NA,30.94
West Coast,2005,g/m3,River Quality,0.01,NA,0.19
West Coast,2006,cfu/100ml,Groundwater Quality,NA,53,NA
West Coast,2006,g/m3,Groundwater Quality,NA,NA,55.31
West Coast,2006,g/m3,River Quality,0.01,NA,0.2
West Coast,2007,cfu/100ml,Groundwater Quality,NA,50,NA
West Coast,2007,g/m3,Groundwater Quality,NA,NA,114
West Coast,2007,g/m3,River Quality,0.01,NA,0.2
West Coast,2008,cfu/100ml,Groundwater Quality,NA,63,NA
West Coast,2008,g/m3,Groundwater Quality,NA,NA,96.71
West Coast,2008,g/m3,River Quality,0.01,NA,0.22
West Coast,2009,cfu/100ml,Groundwater Quality,NA,64,NA
West Coast,2009,g/m3,Groundwater Quality,NA,NA,84.72
West Coast,2009,g/m3,River Quality,0.01,NA,0.23
West Coast,2010,cfu/100ml,Groundwater Quality,NA,73,NA
West Coast,2010,g/m3,Groundwater Quality,NA,NA,141.06
West Coast,2010,g/m3,River Quality,0.01,NA,0.24
West Coast,2011,cfu/100ml,Groundwater Quality,NA,215,NA
West Coast,2011,cfu/100ml,River Quality,NA,5,NA
West Coast,2011,g/m3,Groundwater Quality,NA,NA,203.12
West Coast,2011,g/m3,River Quality,0.01,NA,0.24
West Coast,2012,cfu/100ml,Groundwater Quality,NA,120,NA
West Coast,2012,cfu/100ml,River Quality,NA,35,NA
West Coast,2012,g/m3,Groundwater Quality,NA,NA,182.01
West Coast,2012,g/m3,River Quality,0.01,NA,0.23
West Coast,2013,cfu/100ml,Groundwater Quality,NA,1098,NA
West Coast,2013,cfu/100ml,River Quality,NA,3027.5,NA
West Coast,2013,g/m3,Groundwater Quality,NA,NA,197.12
West Coast,2013,g/m3,River Quality,0.09,NA,0.3
West Coast,2014,cfu/100ml,Groundwater Quality,NA,553,NA
West Coast,2014,cfu/100ml,River Quality,NA,3600,NA
West Coast,2014,g/m3,Groundwater Quality,NA,NA,259.31
West Coast,2014,g/m3,River Quality,0.21,NA,0.42
West Coast,2015,cfu/100ml,Groundwater Quality,NA,237,NA
West Coast,2015,cfu/100ml,River Quality,NA,4143.15,NA
West Coast,2015,g/m3,Groundwater Quality,NA,NA,242.66
West Coast,2015,g/m3,River Quality,0.62,NA,0.42
West Coast,2016,cfu/100ml,Groundwater Quality,NA,1864,NA
West Coast,2016,cfu/100ml,River Quality,NA,4555.75,NA
West Coast,2016,g/m3,Groundwater Quality,NA,NA,194.41
West Coast,2016,g/m3,River Quality,0.58,NA,0.43
West Coast,2017,cfu/100ml,Groundwater Quality,NA,64,NA
West Coast,2017,cfu/100ml,River Quality,NA,4654.65,NA
West Coast,2017,g/m3,Groundwater Quality,NA,NA,164.65
West Coast,2017,g/m3,River Quality,0.57,NA,0.97
West Coast,2018,cfu/100ml,Groundwater Quality,NA,208,NA
West Coast,2018,cfu/100ml,River Quality,NA,3957.7,NA
West Coast,2018,g/m3,Groundwater Quality,NA,NA,204.49
West Coast,2018,g/m3,River Quality,0.62,NA,4.42
West Coast,2019,cfu/100ml,Groundwater Quality,NA,2012,NA
West Coast,2019,cfu/100ml,River Quality,NA,3863.7,NA
West Coast,2019,g/m3,Groundwater Quality,NA,NA,220.25
West Coast,2019,g/m3,River Quality,0.47,NA,4.49
