region,variable,value,year,unit
Otago Region,Farm counts,3843,2007,Count
Southland Region,Farm counts,3840,2007,Count
Tasman Region,Farm counts,1692,2007,Count
Nelson Region,Farm counts,114,2007,Count
Marlborough Region,Farm counts,1746,2007,Count
New Zealand,Farm counts,61644,2007,Count
Northland Region,Farm counts,4554,2012,Count
Auckland Region,Farm counts,3414,2012,Count
Waikato Region,Farm counts,9651,2012,Count
Bay of Plenty Region,Farm counts,4689,2012,Count
Gisborne Region,Farm counts,1188,2012,Count
Hawke's Bay Region,Farm counts,2907,2012,Count
Taranaki Region,Farm counts,3153,2012,Count
Manawatu-Whanganui Region,Farm counts,5274,2012,Count
Wellington Region,Farm counts,1950,2012,Count
West Coast Region,Farm counts,708,2012,Count
Canterbury Region,Farm counts,8655,2012,Count
Otago Region,Farm counts,3606,2012,Count
Southland Region,Farm counts,3591,2012,Count
Tasman Region,Farm counts,1557,2012,Count
Nelson Region,Farm counts,90,2012,Count
Marlborough Region,Farm counts,1671,2012,Count
Chatham Islands,Farm counts,39,2012,Count
New Zealand,Farm counts,56703,2012,Count
Northland Region,Farm counts,4194,2016,Count
Auckland Region,Farm counts,3210,2016,Count
Waikato Region,Farm counts,8952,2016,Count
Bay of Plenty Region,Farm counts,4275,2016,Count
Gisborne Region,Farm counts,1104,2016,Count
Hawke's Bay Region,Farm counts,2712,2016,Count
Taranaki Region,Farm counts,3012,2016,Count
Manawatu-Whanganui Region,Farm counts,4917,2016,Count
Wellington Region,Farm counts,1818,2016,Count
West Coast Region,Farm counts,687,2016,Count
Canterbury Region,Farm counts,8034,2016,Count
Otago Region,Farm counts,3447,2016,Count
Southland Region,Farm counts,3384,2016,Count
Tasman Region,Farm counts,1383,2016,Count
Nelson Region,Farm counts,102,2016,Count
Marlborough Region,Farm counts,1515,2016,Count
Chatham Islands,Farm counts,39,2016,Count
New Zealand,Farm counts,52785,2016,Count
