"","Area","Year","key","Beef Cattle","Dairy Cattle","Deer","Sheep","Total apples (hectares)","Total avocados (hectares)","Total kiwifruit (hectares)","Total olives (hectares)","Total onions (hectares)","Total potatoes (hectares)","Total squash (hectares)","Total wine grapes (hectares)","Total_Hectares","Dairy area (ha)","Floriculture area (ha)","Forestry area (ha)","Fruit and berry area (ha)","Grain growing area (ha)","Nursery and turf area (ha)","Other area (ha)","Other Livestock area (ha)","Sheep and Beef area (ha)","Vegetable growing area (ha)"
"1","Auckland",2021,"Auckland 2021",124698,84973,6404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Bay of Plenty",2021,"Bay of Plenty 2021",NA,313358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Canterbury",2021,"Canterbury 2021",516312,1325185,262813,4253617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Chatham Islands",2021,"Chatham Islands 2021",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Gisborne",2021,"Gisborne 2021",261018,10144,NA,1446290,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Hawke's Bay",2021,"Hawke's Bay 2021",418274,72208,59983,2604116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Manawatu-Whanganui",2021,"Manawatu-Whanganui 2021",594771,443824,47259,4709345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Marlborough",2021,"Marlborough 2021",62509,NA,5280,471763,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Nelson",2021,"Nelson 2021",NA,NA,0,1899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Northland",2021,"Northland 2021",360991,310765,NA,239949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Otago",2021,"Otago 2021",328632,368665,117292,4520718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Southland",2021,"Southland 2021",198244,602169,177839,3417345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Taranaki",2021,"Taranaki 2021",128607,538418,2415,441897,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Tasman",2021,"Tasman 2021",44265,49798,8039,236736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Waikato",2021,"Waikato 2021",621833,1809979,63625,1540300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Wellington",2021,"Wellington 2021",153655,92511,NA,1290604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","West Coast",2021,"West Coast 2021",26459,139137,21845,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Auckland",2020,"Auckland 2020",113340,123478,NA,180218,54,433,657,130,1712,1937,19,225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Bay of Plenty",2020,"Bay of Plenty 2020",110112,294791,37430,220729,79,2197,12091,9,1,9,0,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","Canterbury",2020,"Canterbury 2020",559234,1246299,265295,4560405,241,32,NA,75,1165,5255,56,1432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Chatham Islands",2020,"Chatham Islands 2020",5040,0,0,64895,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","Gisborne",2020,"Gisborne 2020",249615,NA,NA,1365329,310,48,384,44,0,NA,2148,1256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","Hawke's Bay",2020,"Hawke's Bay 2020",400456,NA,67285,2529972,6186,20,166,114,868,85,4754,3960,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","Manawatu-Whanganui",2020,"Manawatu-Whanganui 2020",571743,436747,49653,4680562,28,1,NA,NA,166,NA,30,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","Marlborough",2020,"Marlborough 2020",71030,17933,6042,556764,18,0,0,36,44,1,1,25463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","Nelson",2020,"Nelson 2020",NA,NA,0,13062,5,2,NA,0,0,0,0,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","Northland",2020,"Northland 2020",377720,311282,NA,235789,NA,2001,654,138,39,83,6,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Otago",2020,"Otago 2020",332610,356022,124844,4823751,457,8,NA,16,0,150,0,1211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","Southland",2020,"Southland 2020",209611,683210,155404,3374150,0,NA,NA,0,0,133,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","Taranaki",2020,"Taranaki 2020",122399,554560,2668,387515,7,17,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","Tasman",2020,"Tasman 2020",34959,59397,NA,165437,2204,2,412,49,57,4,13,847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","Waikato",2020,"Waikato 2020",539643,1766690,69634,1406552,83,101,771,27,1530,1421,12,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","Wellington",2020,"Wellington 2020",151838,100234,NA,1443407,110,7,53,194,6,NA,32,985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","West Coast",2020,"West Coast 2020",30426,177297,23644,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","Northland",2019,"Northland 2019",382124,334733,NA,278060,NA,1821,598,133,2,107,9,58,706668.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","Auckland",2019,"Auckland 2019",118180,123504,8733,NA,82,458,706,162,1748,1483,113,300,268632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","Waikato",2019,"Waikato 2019",546980,1822904,67226,1524498,110,75,616,NA,1518,1688,6,NA,1528315.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","Bay of Plenty",2019,"Bay of Plenty 2019",106802,317633,NA,237906,50,1948,11791,NA,0,0,0,34,581936.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","Gisborne",2019,"Gisborne 2019",254428,NA,NA,1380146,284,46,323,5,1,3,2282,1230,533264.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","Hawke's Bay",2019,"Hawke's Bay 2019",448764,78002,61248,2876262,5854,NA,147,137,933,72,4306,3774,907310.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","Taranaki",2019,"Taranaki 2019",125144,587033,3093,441933,3,26,2,0,NA,41,0,NA,452313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","Manawatu-Whanganui",2019,"Manawatu-Whanganui 2019",574889,467626,51268,4791398,NA,NA,221,NA,143,NA,14,32,1363691.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","Wellington",2019,"Wellington 2019",149976,82779,8153,1434408,101,8,56,166,NA,NA,11,820,454627.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","West Coast",2019,"West Coast 2019",31361,152552,22698,21197,0,0,0,0,0,0,0,NA,191725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","Canterbury",2019,"Canterbury 2019",524587,1212575,247735,4572719,254,NA,NA,75,1405,5380,25,1449,2575683.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","Otago",2019,"Otago 2019",325432,352639,121391,4888402,545,12,0,15,2,140,0,1251,2139291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","Southland",2019,"Southland 2019",191503,636241,162380,3326557,NA,0,0,0,0,NA,0,NA,1054669.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","Tasman",2019,"Tasman 2019",36912,64690,5749,234007,2424,6,454,53,78,7,18,859,213822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","Nelson",2019,"Nelson 2019",1566,NA,0,10222,NA,2,NA,NA,0,0,0,15,23418.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","Marlborough",2019,"Marlborough 2019",64217,18223,5810,518125,20,0,NA,38,59,1,0,26091,511355.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","Chatham Islands",2019,"Chatham Islands 2019",NA,0,0,NA,0,0,0,0,0,0,0,0,54448.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","Auckland",2018,"Auckland 2018",113927,116199,11066,202415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","Bay of Plenty",2018,"Bay of Plenty 2018",96287,306711,37044,232865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","Canterbury",2018,"Canterbury 2018",512260,1326513,253162,4423195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","Chatham Islands",2018,"Chatham Islands 2018",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","Gisborne",2018,"Gisborne 2018",261384,NA,NA,1457321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","Hawke's Bay",2018,"Hawke's Bay 2018",428528,87267,56466,2850607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","Manawatu-Whanganui",2018,"Manawatu-Whanganui 2018",554018,486470,56295,5060276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","Marlborough",2018,"Marlborough 2018",57389,NA,4817,495942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","Nelson",2018,"Nelson 2018",1107,NA,0,27286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","Northland",2018,"Northland 2018",400489,367281,4084,279598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","Otago",2018,"Otago 2018",296414,331151,119040,4937228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","Southland",2018,"Southland 2018",172338,NA,183186,3487730,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","Taranaki",2018,"Taranaki 2018",116437,547910,2854,395142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","Tasman",2018,"Tasman 2018",31913,77694,NA,246328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","Waikato",2018,"Waikato 2018",517191,1814158,66615,1632001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","Wellington",2018,"Wellington 2018",131828,79130,NA,1474219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","West Coast",2018,"West Coast 2018",25376,143531,23648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","Northland",2017,"Northland 2017",382957,379401,4913,328033,20,1647,551,118,2,8,8,NA,724564.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","Auckland",2017,"Auckland 2017",111948,132323,11284,253074,84,281,494,128,1919,2242,300,836,287639.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","Waikato",2017,"Waikato 2017",488033,1871594,62714,1478921,144,101,412,34,1733,1280,84,15,1552321.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","Bay of Plenty",2017,"Bay of Plenty 2017",104751,325175,32645,281535,67,1834,9227,26,0,0,0,75,610282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","Gisborne",2017,"Gisborne 2017",247238,9407,11859,1412045,186,48,282,NA,NA,NA,1920,1245,561325.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","Hawke's Bay",2017,"Hawke's Bay 2017",421163,87675,51713,2794237,4746,20,121,120,963,236,3388,3616,872612.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","Taranaki",2017,"Taranaki 2017",117954,590846,3999,497505,3,23,NA,NA,0,10,0,NA,451999.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","Manawatu-Whanganui",2017,"Manawatu-Whanganui 2017",567856,463057,54965,5061676,NA,3,116,34,281,984,6,88,1423619.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","Wellington",2017,"Wellington 2017",134924,96804,10637,1512079,102,8,10,181,1,2,1,832,455764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","West Coast",2017,"West Coast 2017",27422,156204,28340,40384,0,0,0,0,0,0,0,NA,187246.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","Canterbury",2017,"Canterbury 2017",467550,1308058,238633,4473916,312,NA,NA,133,1001,4332,87,1769,2740335.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","Otago",2017,"Otago 2017",262823,333850,115730,4586781,427,NA,NA,19,0,196,0,1173,2075906.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","Southland",2017,"Southland 2017",175201,681011,192480,3987294,NA,NA,NA,0,0,140,0,NA,1179116.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","Tasman",2017,"Tasman 2017",39805,66114,10348,261878,2400,8,440,72,46,9,1,980,216936.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","Nelson",2017,"Nelson 2017",NA,2925,0,NA,0,NA,NA,0,NA,0,0,24,18292.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","Marlborough",2017,"Marlborough 2017",52448,25315,6077,468697,21,0,0,50,33,1,0,23051,492406.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","Chatham Islands",2017,"Chatham Islands 2017",11299,52,0,68914,0,0,0,0,0,0,0,0,50037.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","Northland",2016,"Northland 2016",356823,404415,4824,366197,NA,NA,NA,NA,NA,NA,NA,NA,754226,212271,377,189190,6439,8943,239,NA,4479,326997,3718
"87","Auckland",2016,"Auckland 2016",121690,165417,10124,202200,NA,NA,NA,NA,NA,NA,NA,NA,280916,75527,665,49912,5265,4138,489,NA,11247,121602,7700
"88","Waikato",2016,"Waikato 2016",498662,1855170,63811,1666388,NA,NA,NA,NA,NA,NA,NA,NA,1627293,706531,618,261873,3558,36382,394,NA,26526,577192,6231
"89","Bay of Plenty",2016,"Bay of Plenty 2016",92583,339170,32580,263380,NA,NA,NA,NA,NA,NA,NA,NA,593234,120104,NA,313370,27006,6408,272,NA,4381,115895,210
"90","Gisborne",2016,"Gisborne 2016",243273,11950,8358,1515181,NA,NA,NA,NA,NA,NA,NA,NA,574586,NA,NA,156676,5436,6024,NA,2770,1807,392551,8123
"91","Hawke's Bay",2016,"Hawke's Bay 2016",434837,90854,63862,2872524,NA,NA,NA,NA,NA,NA,NA,NA,920805,28950,29,132330,16245,16060,165,NA,20378,694848,9351
"92","Taranaki",2016,"Taranaki 2016",106619,555532,NA,434333,NA,NA,NA,NA,NA,NA,NA,NA,431661,204116,24,30050,118,8661,328,NA,1753,184598,NA
"93","Manawatu-Whanganui",2016,"Manawatu-Whanganui 2016",543526,524295,47158,5040174,NA,NA,NA,NA,NA,NA,NA,NA,1413349,205442,184,122293,1004,23113,500,NA,17751,1031675,7307
"94","Wellington",2016,"Wellington 2016",110801,110543,17772,1333163,NA,NA,NA,NA,NA,NA,NA,NA,445321,45301,23,57909,2795,15459,203,NA,7056,313575,413
"95","West Coast",2016,"West Coast 2016",31902,180956,28825,23148,NA,NA,NA,NA,NA,NA,NA,NA,188852,105925,NA,21466,NA,4431,NA,NA,NA,40266,NA
"96","Canterbury",2016,"Canterbury 2016",465462,1271057,232947,4584936,NA,NA,NA,NA,NA,NA,NA,NA,2598424,419078,639,94453,5380,216344,410,NA,111710,1723270,24596
"97","Otago",2016,"Otago 2016",256178,312087,112240,4818842,NA,NA,NA,NA,NA,NA,NA,NA,2171748,137657,NA,109642,6702,43311,85,NA,61926,1807085,558
"98","Southland",2016,"Southland 2016",169251,708895,185664,3711484,NA,NA,NA,NA,NA,NA,NA,NA,1176256,301979,NA,75183,NA,51802,NA,NA,45439,699141,736
"99","Tasman",2016,"Tasman 2016",36642,60980,15245,253149,NA,NA,NA,NA,NA,NA,NA,NA,226577,42828,98,89495,9030,5114,288,NA,3362,74436,743
"100","Nelson",2016,"Nelson 2016",1692,2330,0,4729,NA,NA,NA,NA,NA,NA,NA,NA,12773,NA,NA,NA,136,NA,NA,NA,NA,2132,NA
"101","Marlborough",2016,"Marlborough 2016",54063,25148,NA,434222,NA,NA,NA,NA,NA,NA,NA,NA,525327,18366,18,72273,31780,2587,16,NA,6758,391724,NA
"102","Chatham Islands",2016,"Chatham Islands 2016",9051,0,NA,59622,NA,NA,NA,NA,NA,NA,NA,NA,50551,NA,NA,NA,NA,NA,NA,NA,NA,47423,NA
"103","Auckland",2015,"Auckland 2015",111292,124668,8805,240830,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","Bay of Plenty",2015,"Bay of Plenty 2015",90768,357039,32512,302986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","Canterbury",2015,"Canterbury 2015",440598,1253993,243121,4501137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
