"","Area","Year","key","Beef Cattle","Dairy Cattle","Deer","Sheep","Total apples (hectares)","Total avocados (hectares)","Total kiwifruit (hectares)","Total olives (hectares)","Total onions (hectares)","Total potatoes (hectares)","Total squash (hectares)","Total wine grapes (hectares)","Total_Hectares","Dairy area (ha)","Floriculture area (ha)","Forestry area (ha)","Fruit and berry area (ha)","Grain growing area (ha)","Nursery and turf area (ha)","Other area (ha)","Other Livestock area (ha)","Sheep and Beef area (ha)","Vegetable growing area (ha)"
"184","Tasman",2011,"Tasman 2011",46355,72803,13671,249640,2447,NA,542,134,NA,7,NA,809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"185","Waikato",2011,"Waikato 2011",515358,1795785,76961,1838297,162,NA,659,59,1687,2226,121,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"186","Wellington",2011,"Wellington 2011",150561,114120,17367,1645127,NA,30,NA,222,12,17,NA,849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"187","West Coast",2011,"West Coast 2011",29531,179308,30414,34778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"188","Auckland",2010,"Auckland 2010",133998,98416,NA,235414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"189","Bay of Plenty",2010,"Bay of Plenty 2010",82840,306884,44893,347973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"190","Canterbury",2010,"Canterbury 2010",486385,938453,319907,5652101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"191","Chatham Islands",2010,"Chatham Islands 2010",13809,NA,NA,67267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"192","Gisborne",2010,"Gisborne 2010",262073,10535,15093,1589785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"193","Hawke's Bay",2010,"Hawke's Bay 2010",454204,113465,66573,3429382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"194","Manawatu-Whanganui",2010,"Manawatu-Whanganui 2010",626533,478514,75437,5796023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"195","Marlborough",2010,"Marlborough 2010",60852,25980,8562,522176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"196","Nelson",2010,"Nelson 2010",1471,NA,NA,11974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"197","Northland",2010,"Northland 2010",465169,353314,6663,430740,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"198","Otago",2010,"Otago 2010",280997,262417,168696,5323860,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"199","Southland",2010,"Southland 2010",186157,599198,245975,4597335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"200","Taranaki",2010,"Taranaki 2010",133687,645891,4468,583467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"201","Tasman",2010,"Tasman 2010",49783,71088,15222,317299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"202","Waikato",2010,"Waikato 2010",535350,1757624,83952,1982414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"203","Wellington",2010,"Wellington 2010",143398,92375,18819,1633879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"204","West Coast",2010,"West Coast 2010",31816,160791,32325,41523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"205","Auckland",2009,"Auckland 2009",135008,94391,NA,257248,121,90,NA,227,1818,1508,NA,392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"206","Bay of Plenty",2009,"Bay of Plenty 2009",109541,299696,46053,331049,NA,2156,10216,114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"207","Canterbury",2009,"Canterbury 2009",529467,918480,323257,5504718,180,NA,NA,NA,672,4336,NA,1599,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"208","Chatham Islands",2009,"Chatham Islands 2009",13374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"209","Gisborne",2009,"Gisborne 2009",249657,NA,22545,1548344,116,59,273,18,NA,NA,1589,2217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"210","Hawke's Bay",2009,"Hawke's Bay 2009",436207,93871,73887,3445616,5409,NA,240,282,427,1031,4191,5328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"211","Manawatu-Whanganui",2009,"Manawatu-Whanganui 2009",609701,424880,76299,5767131,24,NA,141,37,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"212","Marlborough",2009,"Marlborough 2009",NA,NA,8099,516391,34,NA,NA,197,NA,NA,NA,19577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"213","Nelson",2009,"Nelson 2009",NA,NA,NA,4673,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"214","Northland",2009,"Northland 2009",485231,392577,5596,429401,46,1544,600,265,NA,19,4,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"215","Otago",2009,"Otago 2009",291585,257049,166424,5281730,572,NA,NA,23,NA,139,NA,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"216","Southland",2009,"Southland 2009",214927,589184,242288,4556206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"217","Taranaki",2009,"Taranaki 2009",126336,607436,4296,537850,NA,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"218","Tasman",2009,"Tasman 2009",59543,86531,13039,327770,2382,11,635,139,30,NA,11,1120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"219","Waikato",2009,"Waikato 2009",598002,1786579,97508,2101906,223,NA,786,42,1265,2092,NA,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"220","Wellington",2009,"Wellington 2009",146794,85331,16062,1659327,109,NA,NA,NA,11,NA,NA,924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"221","West Coast",2009,"West Coast 2009",35892,179416,40162,42889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"222","Auckland",2008,"Auckland 2008",143366,115883,12240,264979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"223","Bay of Plenty",2008,"Bay of Plenty 2008",102682,315183,51995,346445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"224","Canterbury",2008,"Canterbury 2008",533665,831666,340882,6063300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"225","Chatham Islands",2008,"Chatham Islands 2008",12327,NA,NA,64202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"226","Gisborne",2008,"Gisborne 2008",287079,16432,23261,1679670,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"227","Hawke's Bay",2008,"Hawke's Bay 2008",493393,99931,84426,3690843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"228","Manawatu-Whanganui",2008,"Manawatu-Whanganui 2008",583129,425484,84417,5916784,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"229","Marlborough",2008,"Marlborough 2008",56859,33544,NA,517526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"230","Nelson",2008,"Nelson 2008",1522,NA,NA,8671,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"231","Northland",2008,"Northland 2008",507540,392193,6564,504286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"232","Otago",2008,"Otago 2008",291234,232905,166856,5343380,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"233","Southland",2008,"Southland 2008",190562,495971,270072,4739003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"234","Taranaki",2008,"Taranaki 2008",132092,571505,3524,637400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"235","Tasman",2008,"Tasman 2008",49869,70689,19307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"236","Waikato",2008,"Waikato 2008",576461,1717421,91865,2168673,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"237","Wellington",2008,"Wellington 2008",140381,103525,16871,1779247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"238","West Coast",2008,"West Coast 2008",34713,152869,34955,43156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"239","Northland",2007,"Northland 2007",495833,367183,7566,534452,30,1325,634,231,NA,31,25,121,764543,189597,NA,169121,8233,4056,127,1804,7872,377557,6175
"240","Auckland",2007,"Auckland 2007",156787,113344,12304,287589,179,130,309,290,1531,1316,251,411,244981,48943,NA,39816,5330,3929,156,1538,16292,121367,7610
"241","Waikato",2007,"Waikato 2007",676584,1669472,116554,2660145,228,144,753,79,1477,2022,NA,133,1600354,557888,NA,286767,4287,28555,95,2895,33583,675307,10976
"242","Bay of Plenty",2007,"Bay of Plenty 2007",119743,299013,54296,385373,8,2210,10108,56,NA,NA,NA,25,531459,103245,NA,267181,26058,4946,85,1227,19135,108749,835
"243","Gisborne",2007,"Gisborne 2007",287296,7891,26694,1825496,190,58,284,6,NA,NA,2773,1812,614524,NA,NA,174818,6917,6649,NA,264,2405,415266,5406
"244","Hawke's Bay",2007,"Hawke's Bay 2007",438366,80200,88408,3624018,5206,31,220,317,517,491,3117,4930,951986,26453,NA,137516,18659,7231,NA,NA,16438,727944,17074
"245","Taranaki",2007,"Taranaki 2007",136715,589573,4456,656144,1,68,NA,NA,NA,18,NA,NA,470218,205346,NA,33808,716,8361,NA,523,2918,218238,NA
"246","Manawatu-Whanganui",2007,"Manawatu-Whanganui 2007",680960,393453,103908,6746989,35,19,138,NA,319,1578,841,10,1417246,149276,NA,110310,864,12624,37,1624,23616,1108725,10169
"247","Wellington",2007,"Wellington 2007",155910,92787,15985,1822057,127,8,NA,254,NA,NA,NA,860,490634,42506,NA,71129,2283,3418,7,607,10044,359637,1004
"248","West Coast",2007,"West Coast 2007",30275,152481,41755,54094,NA,NA,NA,NA,NA,NA,NA,NA,200126,93609,NA,NA,151,2508,NA,NA,15818,50784,111
"249","Canterbury",2007,"Canterbury 2007",584806,754937,394833,7166822,249,NA,NA,437,686,4273,NA,1683,3080261,226825,NA,134039,8606,194363,99,4550,135390,2349426,26963
"250","Otago",2007,"Otago 2007",292355,218264,188103,6031166,472,NA,NA,44,NA,168,NA,1642,2331143,87009,NA,120235,8216,18429,24,837,97204,1995221,3966
"251","Southland",2007,"Southland 2007",207588,432642,307524,5662387,NA,NA,NA,NA,NA,63,NA,NA,1178136,173154,NA,74099,NA,19099,NA,2079,68138,839345,1726
